("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.8737028625000000e+14 3.0858739453355820e-04 8.4676811987162226e-01
1.8749519977416666e+14 3.0943930617568485e-04 8.8158000873911901e-01
1.8762011329833334e+14 3.0874741811904894e-04 9.1620530437243342e-01
1.8774502682250000e+14 3.0655451699225408e-04 9.5029091173834512e-01
1.8786994034666666e+14 3.0292098976337416e-04 9.8347929576871285e-01
1.8799485387083334e+14 2.9792444073462634e-04 1.0153995158312852e+00
1.8811976739500000e+14 2.9165937959339789e-04 1.0456585511411502e+00
1.8824468091916666e+14 2.8423699305547216e-04 1.0738327897775835e+00
1.8836959444333334e+14 2.7578501577478330e-04 1.0994597646622137e+00
1.8849450796750000e+14 2.6644771335045315e-04 1.1220305336861109e+00
1.8861942149166666e+14 2.5638597753691652e-04 1.1409835866224434e+00
1.8874433501583334e+14 2.4645104345066029e-04 1.1498083947669020e+00
1.8886924854000000e+14 2.3614526296431812e-04 1.1531518338428410e+00
1.8899416206416666e+14 2.2570609594839425e-04 1.1502640697459023e+00
1.8911907558833334e+14 2.1539168662843914e-04 1.1404145464930771e+00
1.8924398911250000e+14 2.0547815640673217e-04 1.1229674016052269e+00
1.8936890263666666e+14 1.9625373612239277e-04 1.0974946911473780e+00
1.8949381616083334e+14 1.8800819104867057e-04 1.0639259966770662e+00
1.8961872968500000e+14 1.8101626363690505e-04 1.0227148273764031e+00
1.8974364320916666e+14 1.7551514531700431e-04 9.7497574880338300e-01
1.8986855673333334e+14 1.7167852531294969e-04 9.2252405050696329e-01
1.8999347025750000e+14 1.7060786764492184e-04 8.6097515129725777e-01
1.9011838378166666e+14 1.7140321162511466e-04 8.0051579221052682e-01
1.9024329730583334e+14 1.7392825690376476e-04 7.4391566673704446e-01
1.9036821083000000e+14 1.7795637512085081e-04 6.9334347791299056e-01
1.9049312435416666e+14 1.8320371613292710e-04 6.5017870044787651e-01
1.9061803787833334e+14 1.8936327317633578e-04 6.1502716712552552e-01
1.9074295140250000e+14 1.9613264785487460e-04 5.8787111250466162e-01
1.9086786492666666e+14 2.0323268980491121e-04 5.6826586184835826e-01
1.9099277845083334e+14 2.1041765269633620e-04 5.5552066957465707e-01
1.9111769197500000e+14 2.1747907322725133e-04 5.4883614177226936e-01
1.9124260549916666e+14 2.2551751388900787e-04 5.4406880104829192e-01
1.9136751902333334e+14 2.3312393863768308e-04 5.4394446904173732e-01
1.9149243254750000e+14 2.4018541153842429e-04 5.4764826165248826e-01
1.9161734607166666e+14 2.4661921743619866e-04 5.5446189763040754e-01
1.9174225959583334e+14 2.5236910797804259e-04 5.6376010277921473e-01
1.9186717312000000e+14 2.5740187535661763e-04 5.7500273919003575e-01
1.9199208664416666e+14 2.6170424308474875e-04 5.8772568106083711e-01
1.9211700016833334e+14 2.6528002225963956e-04 6.0153201144038748e-01
